State,Percentage of Pell Grantees,Median Federal Debt for All Students,Median Federal Debt of Pell Grantees,Nonrepayment Rate for Pell Students,Nonrepayment Rate for All Students,"Average Cost for Low-Income Students, Per Year",Default Rate for All Students,"Percentage of All Students Earning $25K or Less Per Year, 10 Years After Enrolling"
Lehigh University,0.148,25000,22954,0.175,0.115,15155,0.011,0.081
Lesley University,0.271,25000,20833,0.453,0.372,26506,0.038,0.311
Liberty University,0.498,23250,12101,0.708,0.625,23428,0.085,0.314
Lindenwood University,0.335,27000,21500,0.602,0.475,20308,0.034,0.246
Lipscomb University,0.254,20500,21014,0.400,0.318,18680,0.049,0.284
Louisiana State University and Agricultural & Mechanical College,0.201,20000,15000,0.403,0.320,5692,0.038,0.191
Louisiana Tech University,0.215,20500,14625,0.502,0.412,6743,0.070,0.247
Loyola University Chicago,0.282,25000,25556,0.296,0.239,25348,0.033,0.174
Marquette University,0.162,27000,28500,0.315,0.205,21337,0.013,0.108
Maryville University of Saint Louis,0.323,24000,20189,0.562,0.420,22160,0.055,0.177
Massachusetts Institute of Technology,0.183,14990,11682,0.099,0.088,5128,0.017,0.088
Mercer University,0.406,25000,22900,0.656,0.534,18407,0.044,0.192
Miami University-Oxford,0.139,25000,17682,0.617,0.447,15924,0.124,0.207
Michigan State University,0.227,25458,25495,0.402,0.296,6434,0.040,0.166
Michigan Technological University,0.256,26264,23813,0.292,0.214,8056,0.038,0.136
Middle Tennessee State University,0.447,21743,16197,0.572,0.495,7904,0.093,0.293
Mississippi State University,0.332,23537,18400,0.472,0.409,14117,0.079,0.213
Missouri University of Science and Technology,0.256,25000,23500,0.230,0.167,10832,0.031,0.134
Montana State University,0.294,24854,17225,0.314,0.273,13699,0.048,0.273
Montclair State University,0.382,23000,20000,0.439,0.342,18470,0.026,0.203
Morgan State University,0.572,31000,23750,0.817,0.795,13138,0.176,0.277
National Louis University,0.505,18681,19410,0.648,0.540,17556,0.036,0.276
New Jersey Institute of Technology,0.376,21500,18500,0.342,0.305,11445,0.041,0.116
New Mexico State University-Main Campus,0.419,18340,11469,0.605,0.569,7642,0.202,0.368
New York University,0.215,23300,23250,0.312,0.225,25311,0.020,0.181
North Carolina A & T State University,0.609,28500,20667,0.771,0.732,8597,0.148,0.339
North Carolina State University at Raleigh,0.222,20500,18000,0.297,0.237,6451,0.034,0.170
North Dakota State University-Main Campus,0.214,24000,18750,0.262,0.206,11272,0.037,0.160
Northeastern University,0.132,28501,27000,0.333,0.212,18240,0.028,0.130
Northern Arizona University,0.366,20500,15434,0.540,0.470,10553,0.073,0.242
Northern Illinois University,0.443,23347,19000,0.461,0.360,15851,0.069,0.210
Northwestern University,0.140,18900,18000,0.185,0.125,11700,0.010,0.133
Nova Southeastern University,0.441,25250,23405,0.647,0.584,22500,0.032,0.191
Oakland University,0.321,25000,20500,0.573,0.482,8013,0.049,0.243
Ohio State University-Main Campus,0.224,21960,17500,0.466,0.372,10566,0.051,0.217
Ohio University-Main Campus,0.263,21250,14994,0.615,0.487,14201,0.111,0.262
Oklahoma State University-Main Campus,0.285,20084,16000,0.403,0.341,9630,0.062,0.209
Old Dominion University,0.350,23179,19000,0.559,0.472,10351,0.051,0.210
Oregon State University,0.317,23000,19000,0.393,0.339,14804,0.039,0.214
Pace University-New York,0.344,25000,21431,0.413,0.365,22722,0.046,0.166
Pennsylvania State University-Main Campus,0.166,27000,22466,0.408,0.295,20010,0.057,0.188
Pepperdine University,0.211,26500,26860,0.310,0.252,18984,0.019,0.167
Portland State University,0.407,23369,20000,0.496,0.437,11509,0.051,0.265
Prairie View A & M University,0.656,28554,17581,0.750,0.726,7524,0.197,0.334
Princeton University,0.129,7500,3013,0.263,0.180,3630,0.024,0.103
Purdue University-Main Campus,0.202,22500,21162,0.268,0.207,7153,0.034,0.143
Regent University,0.490,25000,19000,0.642,0.584,14857,0.054,0.244
Rensselaer Polytechnic Institute,0.168,27500,30500,0.129,0.088,24151,0.018,0.071
Rice University,0.165,9642,8100,0.183,0.137,6468,0.017,0.113
Robert Morris University,0.325,27000,25000,0.454,0.341,18815,0.046,0.199
Rochester Institute of Technology,0.294,27000,25617,0.349,0.260,21570,0.042,0.150
Rutgers University-New Brunswick,0.300,21745,21500,0.393,0.319,11953,0.035,0.161
Rutgers University-Newark,0.519,21745,21500,0.393,0.319,7464,0.035,0.161
Saint John Fisher College,0.310,24980,23900,0.323,0.253,14274,0.035,0.172
Saint Louis University,0.132,25500,25000,0.427,0.280,25531,0.043,0.136
Sam Houston State University,0.428,22208,18000,0.486,0.418,10651,0.086,0.221
San Diego State University,0.398,15998,13709,0.395,0.342,6980,0.036,0.206
San Francisco State University,0.431,17501,15000,0.444,0.401,7249,0.057,0.223
Seattle Pacific University,0.304,25000,23911,0.264,0.175,19004,0.023,0.227
Seton Hall University,0.304,25000,22250,0.377,0.295,19300,0.025,0.158
Shenandoah University,0.222,25000,21500,0.528,0.393,24129,0.048,0.271
South Dakota State University,0.260,25245,18000,0.279,0.230,12830,0.046,0.211
Southern Illinois University-Carbondale,0.433,22250,16731,0.583,0.480,13521,0.083,0.248
Southern Methodist University,0.160,22500,19948,0.317,0.241,20936,0.033,0.171
Spalding University,0.444,25000,20000,0.643,0.565,17507,0.089,0.210
St John's University-New York,0.301,25910,21500,0.405,0.348,24030,0.065,0.189
Stanford University,0.156,12782,7903,0.176,0.138,2841,0.008,0.097
Stevens Institute of Technology,0.208,27533,28543,0.174,0.123,18832,0.022,0.098
Stony Brook University,0.335,19351,17500,0.298,0.271,8770,0.029,0.173
Suffolk University,0.296,27000,24500,0.414,0.323,22204,0.037,0.163
SUNY at Albany,0.390,21490,18500,0.337,0.285,10515,0.046,0.169
SUNY at Binghamton,0.286,20000,19000,0.300,0.256,10585,0.029,0.152
SUNY College of Environmental Science and Forestry,0.270,20450,19202,0.281,0.220,11586,0.021,0.222
Syracuse University,0.261,27000,29000,0.275,0.191,18149,0.033,0.148
Temple University,0.347,26000,25000,0.390,0.315,16176,0.050,0.204
Tennessee State University,0.647,27750,15000,0.764,0.729,8798,0.120,0.318
Tennessee Technological University,0.362,15587,11021,0.434,0.385,9532,0.079,0.269
Texas A & M University-College Station,0.218,19000,16750,0.245,0.192,4304,0.042,0.132
Texas A & M University-Commerce,0.496,20250,16131,0.632,0.574,6940,0.101,0.257
Texas A & M University-Corpus Christi,0.409,23000,14250,0.521,0.462,13526,0.087,0.224
Texas A & M University-Kingsville,0.503,20000,14751,0.577,0.543,9157,0.127,0.274
Texas Christian University,0.129,22000,23000,0.296,0.210,18578,0.032,0.161
Texas Southern University,0.671,31000,16250,0.824,0.803,17973,0.154,0.407
Texas State University,0.351,21359,16500,0.509,0.441,9149,0.084,0.203
Texas Tech University,0.279,22500,19189,0.422,0.332,9733,0.060,0.169
Texas Woman's University,0.453,20000,15625,0.535,0.461,6161,0.065,0.191
The New School,0.227,24384,23808,0.438,0.354,29010,0.047,0.326
The University of Alabama,0.204,23750,20000,0.518,0.427,17957,0.063,0.217
The University of Montana,0.380,23431,17000,0.486,0.411,11239,0.099,0.329
The University of Tennessee-Knoxville,0.301,19999,17500,0.404,0.317,8770,0.055,0.228
The University of Texas at Arlington,0.400,18750,13000,0.492,0.445,10493,0.068,0.194
The University of Texas at Austin,0.260,22160,22500,0.290,0.231,10696,0.036,0.157
The University of Texas at Dallas,0.355,19000,15000,0.401,0.353,8471,0.056,0.165
The University of Texas at El Paso,0.576,17529,12000,0.542,0.526,5130,0.102,0.285
