University,City,State,Rank,In-state Tuition,Out-state Tuition,Enrollment
Ball State University,Muncie, IN,187  ,$25938 , $9848 ,17011
Montclair State University,Montclair, NJ,187  ,$20566 , $12454 ,16810
West Virginia University,Morgantown, WV,187  ,$23616 , $8376 ,22350
Indiana University-Purdue University--Indianapolis,Indianapolis, IN,192  ,$29806 , $9334 ,21748
University of Houston,Houston, TX,192  ,$27337 , $11887 ,35871
University of New Mexico,Albuquerque, NM,192  ,$22412 , $7150 ,20215
University of North Dakota,Grand Forks, ND,192  ,$21462 , $9862 ,11255
New Mexico State University,Las Cruces, NM,198  ,$22701 , $7122 ,12027
North Dakota State University,Fargo, ND,198  ,$20571 , $9409 ,12010
University of North Carolina--Charlotte,Charlotte, NC,198  ,$20268 , $6834 ,23404
Bowling Green State University,Bowling Green, OH,202  ,$18593 , $11057 ,14852
California State University--Fullerton,Fullerton, CA,202  ,$17460 , $6850 ,34576
University of Massachusetts--Boston,Boston, MA,202  ,$32985 , $13828 ,12847
University of Nevada--Reno,Reno, NV,202  ,$21787 , $7599 ,18191
Central Michigan University,Mount Pleasant, MI,207  ,$23670 , $12510 ,19923
East Carolina University,Greenville, NC,207  ,$23420 , $7143 ,22969
Florida A&M University,Tallahassee, FL,207  ,$17725 , $5785 ,7769
Montana State University,Bozeman, MT,207  ,$23042 , $7031 ,14400
University of Alaska--Fairbanks,Fairbanks, AK,207  ,$23534 , $8144 ,7239
University of Colorado--Denver,Denver, CO,207  ,$31209 , $11019 ,14622
University of Massachusetts--Dartmouth,North Dartmouth, MA,207  ,$28285 , $13571 ,6999
University of Montana,Missoula, MT,207  ,$24943 , $7063 ,10077
Western Michigan University,Kalamazoo, MI,207  ,$14699 , $11943 ,18313
Florida International University,Miami, FL,216  ,$18956 , $6558 ,45813
Louisiana Tech University,Ruston, LA,216  ,$18438 , $9525 ,11281
South Dakota State University,Brookings, SD,216  ,$11403 , $8172 ,10959
Southern Illinois University--Carbondale,Carbondale, IL,216  ,$13936 , $13936 ,12182
University of Alabama--Huntsville,Huntsville, AL,216  ,$21480 , $10280 ,6507
University of Missouri--Kansas City,Kansas City, MO,216  ,$25999 , $9734 ,11708
Utah State University,Logan, UT,216  ,$20726 , $7174 ,24838
California State University--Fresno,Fresno, CA,223  ,$17929 , $6583 ,21528
Georgia State University,Atlanta, GA,223  ,$29432 , $10858 ,25455
University of South Dakota,Vermillion, SD,223  ,$11688 , $8457 ,7500
Wayne State University,Detroit, MI,223  ,$28590 , $13278 ,17280
Augusta University,Augusta, GA,Rank Not Published,$23606 , $8634 ,5133
Boise State University,Boise, ID,Rank Not Published,$22642 , $7326 ,20209
Cleveland State University,Cleveland, OH,Rank Not Published,$13848 , $9796 ,12433
Eastern Michigan University,Ypsilanti, MI,Rank Not Published,$11530 , $11530 ,17541
East Tennessee State University,Johnson City, TN,Rank Not Published,$26463 , $8679 ,11065
Florida Atlantic University,Boca Raton, FL,Rank Not Published,$21595 , $6039 ,25402
Georgia Southern University,Statesboro, GA,Rank Not Published,$18692 , $6796 ,18005
Indiana State University,Terre Haute, IN,Rank Not Published,$19454 , $8916 ,11202
Indiana University of Pennsylvania,Indiana, PA,Rank Not Published,$15882 , $12146 ,10618
Jackson State University,Jackson, MS,Rank Not Published,$17614 , $7261 ,7492
Kennesaw State University,Kennesaw, GA,Rank Not Published,$21158 , $7432 ,32166
Lamar University,Beaumont, TX,Rank Not Published,$22561 , $10111 ,9326
Middle Tennessee State University,Murfreesboro, TN,Rank Not Published,$27578 , $8948 ,19693
Morgan State University,Baltimore, MD,Rank Not Published,$17833 , $7767 ,6362
North Carolina A&T State University,Greensboro, NC,Rank Not Published,$19416 , $6526 ,9668
Northern Arizona University,Flagstaff, AZ,Rank Not Published,$24841 , $11059 ,26506
Northern Illinois University,DeKalb, IL,Rank Not Published,$23817 , $14352 ,14079
Oakland University,Rochester, MI,Rank Not Published,$24735 , $13406 ,16568
Old Dominion University,Norfolk, VA,Rank Not Published,$28200 , $10350 ,19793
Portland State University,Portland, OR,Rank Not Published,$21180 , $7302 ,21633
Prairie View A&M University,Prairie View, TX,Rank Not Published,$10059 , $10059 ,7455
Sam Houston State University,Huntsville, TX,Rank Not Published,$22340 , $9890 ,17902
San Francisco State University,San Francisco, CA,Rank Not Published,$19134 , $7254 ,25945
Tennessee State University,Nashville, TN,Rank Not Published,$20178 , $7458 ,7007
Tennessee Technological University,Cookeville, TN,Rank Not Published,$26190 , N/A 9,437
Texas A&M University--Commerce,Commerce, TX,Rank Not Published,$20884 , $8434 ,7605
Texas A&M University--Corpus Christi,Corpus Christi, TX,Rank Not Published,$26061 , $12944 ,10212
Texas A&M University--Kingsville,Kingsville, TX,Rank Not Published,$20912 , $8462 ,6811
Texas Southern University,Houston, TX,Rank Not Published,$21240 , $9000 ,6562
Texas State University,San Marcos, TX,Rank Not Published,$23071 , $10621 ,34244
Texas Woman's University,Denton, TX,Rank Not Published,$21816 , $9366 ,10408
University of Akron,Akron, OH,Rank Not Published,$21863 , $13332 ,17416
University of Arkansas--Little Rock,Little Rock, AR,Rank Not Published,$19797 , $8401 ,9374
University of Louisiana--Lafayette,Lafayette, LA,Rank Not Published,$23074 , $9346 ,15998
University of Louisiana--Monroe,Monroe, LA,Rank Not Published,$20381 , $8281 ,7778
University of Maryland--Eastern Shore,Princess Anne, MD,Rank Not Published,$18048 , $8042 ,3278
University of Memphis,Memphis, TN,Rank Not Published,$21413 , $9701 ,17176
University of Missouri--St. Louis,St. Louis, MO,Rank Not Published,$27327 , $10275 ,13923
University of Nebraska--Omaha,Omaha, NE,Rank Not Published,$22035 , $8205 ,12536
University of Nevada--Las Vegas,Las Vegas, NV,Rank Not Published,$21498 , $7310 ,24714
University of New Orleans,New Orleans, LA,Rank Not Published,$13530 , $8694 ,6442
University of North Carolina--Greensboro,Greensboro, NC,Rank Not Published,$22410 , $7164 ,16281
University of Northern Colorado,Greeley, CO,Rank Not Published,$20474 , $8888 ,9503
University of North Texas,Denton, TX,Rank Not Published,$23716 , $10906 ,31209
University of South Alabama,Mobile, AL,Rank Not Published,$19586 , $10005 ,11761
University of Southern Mississippi,Hattiesburg, MS,Rank Not Published,$9854 , $7854 ,11779
University of Texas--Arlington,Arlington, TX,Rank Not Published,$25152 , $9952 ,32775
University of Texas--El Paso,El Paso, TX,Rank Not Published,$21396 , $7651 ,20521
University of Texas--Rio Grande Valley,Edinburg, TX,Rank Not Published,$17230 , $7438 ,24433
University of Texas--San Antonio,San Antonio, TX,Rank Not Published,$23379 , $9380 ,24724
University of Toledo,Toledo, OH,Rank Not Published,$18578 , $9240 ,16247
University of West Florida,Pensacola, FL,Rank Not Published,$18628 , $6360 ,10082
University of West Georgia,Carrollton, GA,Rank Not Published,$20406 , $7188 ,11155
University of Wisconsin--Milwaukee,Milwaukee, WI,Rank Not Published,$19851 , $9493 ,21375
Valdosta State University,Valdosta, GA,Rank Not Published,$17196 , $6410 ,8780
Wichita State University,Wichita, KS,Rank Not Published,$17270 , $8312 ,11823
Wright State University,Dayton, OH,Rank Not Published,$17350 , $8730 ,12504
Idaho State University 1,Pocatello, ID,Unranked,$21023 , $6956 ,N/A
